samples
TCGA-BQ-5888-11A
TCGA-BQ-7055-11A
TCGA-DZ-6134-11A
TCGA-BQ-7046-11A
TCGA-BQ-5894-11A
TCGA-BQ-5887-11A
TCGA-BQ-7059-11A
TCGA-BQ-7045-11A
TCGA-BQ-5877-11A
TCGA-DZ-6131-11A
TCGA-BQ-5875-11A
TCGA-BQ-5882-11A
TCGA-BQ-7051-11A
TCGA-BQ-5891-11A
TCGA-BQ-5890-11A
TCGA-BQ-5884-11A
TCGA-BQ-7044-11A
TCGA-BQ-7061-11A
TCGA-GL-6846-11A
TCGA-DZ-6132-11A
TCGA-DZ-6133-11A
TCGA-BQ-5879-11A
TCGA-BQ-5878-11A
TCGA-50-5933-11A
TCGA-50-5930-11A
TCGA-44-6778-11A
TCGA-44-2668-11A
TCGA-44-2665-11A
TCGA-44-2655-11A
TCGA-49-6745-11A
TCGA-50-5932-11A
TCGA-44-6144-11A
TCGA-GN-A4U8-11A
TCGA-AJ-A3NC-11A
TCGA-FL-A1YM-11A
TCGA-AX-A1CI-11A
TCGA-AX-A2H8-11A
TCGA-AX-A2HD-11A
TCGA-FL-A1YU-11A
TCGA-BG-A2AD-11A
TCGA-BG-A3EW-11A
TCGA-AX-A2HA-11A
TCGA-FL-A1YG-11A
TCGA-AX-A05Y-11A
TCGA-AX-A0J0-11A
TCGA-DI-A2QU-11A
TCGA-DI-A2QY-11A
TCGA-BK-A4ZD-11A
TCGA-AX-A1CK-11A
TCGA-FL-A1YF-11A
TCGA-E6-A1M0-11A
TCGA-FL-A1YN-11A
TCGA-AJ-A3NE-11A
TCGA-AJ-A3NH-11A
TCGA-FL-A3WE-11A
TCGA-FL-A1YI-11A
TCGA-AX-A0IZ-11A
TCGA-FL-A1YT-11A
TCGA-AX-A1CF-11A
TCGA-FL-A1YH-11A
TCGA-AX-A2HC-11A
TCGA-FL-A1YQ-11A
TCGA-FL-A1YL-11A
TCGA-AJ-A2QL-11A
TCGA-BG-A3PP-11A
TCGA-22-5472-11A
TCGA-22-5478-11A
TCGA-43-6771-11A
TCGA-HV-A5A3-11A
TCGA-H6-A45N-11A
TCGA-H6-8124-11A
TCGA-YB-A89D-11A
TCGA-BH-A203-11A
